"Sensor","Date_Time","Date","Time","Count"
"St Kilda Rd-Alexandra Gardens",2020-07-01 05:00:00,2020-07-01,5,7
"Lonsdale St (South)",2020-07-01 05:00:00,2020-07-01,5,6
"Lygon St (West)",2020-07-01 05:00:00,2020-07-01,5,23
"City Square",2020-07-01 05:00:00,2020-07-01,5,NA
"Flinders St-Spring St (West)",2020-07-01 05:00:00,2020-07-01,5,NA
"Flinders St-Spark La",2020-07-01 05:00:00,2020-07-01,5,14
"Southbank",2020-07-01 05:00:00,2020-07-01,5,30
"Queen St (West)",2020-07-01 05:00:00,2020-07-01,5,10
"Lygon St (East)",2020-07-01 05:00:00,2020-07-01,5,8
"Alfred Place",2020-07-01 05:00:00,2020-07-01,5,NA
"Lonsdale St-Spring St (West)",2020-07-01 05:00:00,2020-07-01,5,11
"Grattan St-Swanston St (West)",2020-07-01 05:00:00,2020-07-01,5,4
"Monash Rd-Swanston St (West)",2020-07-01 05:00:00,2020-07-01,5,3
"Tin Alley-Swanston St (West)",2020-07-01 05:00:00,2020-07-01,5,2
"Little Collins St-Swanston St (East)",2020-07-01 05:00:00,2020-07-01,5,26
"Flinders La-Swanston St (West)",2020-07-01 05:00:00,2020-07-01,5,110
"Pelham St (South)",2020-07-01 05:00:00,2020-07-01,5,2
"Melbourne Central-Elizabeth St (East)",2020-07-01 05:00:00,2020-07-01,5,47
"QVM-Queen St (East)",2020-07-01 05:00:00,2020-07-01,5,9
"QVM-Therry St (South)",2020-07-01 05:00:00,2020-07-01,5,18
"Faraday St-Lygon St (West)",2020-07-01 05:00:00,2020-07-01,5,6
"QVM-Franklin St (North)",2020-07-01 05:00:00,2020-07-01,5,15
"Elizabeth St-Lonsdale St (South)",2020-07-01 05:00:00,2020-07-01,5,4
"Lincoln-Swanston (W)",2020-07-01 05:00:00,2020-07-01,5,3
"Elizabeth St-La Trobe St (East)",2020-07-01 05:00:00,2020-07-01,5,NA
"Lonsdale St - Elizabeth St (North)",2020-07-01 05:00:00,2020-07-01,5,12
"Bourke St Bridge",2020-07-01 05:00:00,2020-07-01,5,19
"Bourke St - Spencer St (North)",2020-07-01 05:00:00,2020-07-01,5,71
"RMIT Bld 80 - 445 Swanston Street",2020-07-01 05:00:00,2020-07-01,5,NA
